depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips,robustness_score,depth_distance,deviation_distance,backstep_distance
350,75,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,7.5,0.9929496340731938,0,75,20
350,100,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,10.0,0.9929496340731938,0,50,20
350,125,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,12.5,0.9929496340731938,0,25,20
350,150,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,15.0,0.9929496340731938,0,0,20
350,175,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,17.5,0.9929496340731938,0,25,20
350,200,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,20.0,0.9929496340731938,0,50,20
350,225,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,22.5,0.9929496340731938,0,75,20
350,250,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,25.0,0.9929496340731938,0,100,20
345,25,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,2.5,0.991568513879733,5,125,20
345,50,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,5.0,0.991568513879733,5,100,20
345,75,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,7.5,0.991568513879733,5,75,20
345,100,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,10.0,0.991568513879733,5,50,20
345,125,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,12.5,0.991568513879733,5,25,20
345,150,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,15.0,0.991568513879733,5,0,20
345,175,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,17.5,0.991568513879733,5,25,20
345,200,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,20.0,0.991568513879733,5,50,20
345,225,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,22.5,0.991568513879733,5,75,20
345,250,60,746,745,36.19999999999956,395.0,0.11941316956669695,0.14528853447502474,25.0,0.991568513879733,5,100,20
345,25,20,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,2.5,0.9881178394263125,5,125,20
345,25,40,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,2.5,0.9881178394263125,5,125,0
345,50,20,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,5.0,0.9881178394263125,5,100,20
345,50,40,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,5.0,0.9881178394263125,5,100,0
345,75,20,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,7.5,0.9881178394263125,5,75,20
345,75,40,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,7.5,0.9881178394263125,5,75,0
345,100,20,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,10.0,0.9881178394263125,5,50,20
345,100,40,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,10.0,0.9881178394263125,5,50,0
345,125,20,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,12.5,0.9881178394263125,5,25,20
345,125,40,750,749,36.19999999999956,394.0,0.12006898038370499,0.14674958144705894,12.5,0.9881178394263125,5,25,0
